close,high,low,open,time,volumefrom,volumeto
0.002638,0.002662,0.00258,0.002588,1452643200,52909.04,139.03
0.002646,0.002693,0.002605,0.002638,1452646800,41136.49,109.23
0.002627,0.002671,0.002593,0.002646,1452650400,29502.62,77.38
0.00265,0.002651,0.002604,0.002627,1452654000,11702.69,30.75
0.002638,0.002687,0.00262,0.00265,1452657600,25362.2,67.18
0.002629,0.002653,0.00262,0.002638,1452661200,17020.59,44.89
0.002606,0.002647,0.00259,0.002629,1452664800,14042.84,36.74
0.002587,0.002616,0.002587,0.002606,1452668400,8552.4,22.19
0.002514,0.002594,0.002488,0.002587,1452672000,68731.7,173.93
0.002536,0.002549,0.002501,0.002514,1452675600,24753.98,62.27
0.002536,0.002585,0.002529,0.002536,1452679200,29698.3,75.78
